,constructorId,constructorRef,name,nationality,url,img_urls
139,141,simca,Simca,French,http://en.wikipedia.org/wiki/Simca,http://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Simca_logo_1970.svg/220px-Simca_logo_1970.svg.png
140,142,turner,Turner,American,http://en.wikipedia.org/wiki/Turner_(constructor),
141,143,del_roy,Del Roy,American,http://en.wikipedia.org/wiki/Del_Roy,
142,144,veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor),http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Veritas_logo.png/220px-Veritas_logo.png
143,145,bmw,BMW,German,http://en.wikipedia.org/wiki/BMW,http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Logo_BMW_Group_2021.svg/200px-Logo_BMW_Group_2021.svg.png
144,146,emw,EMW,East German,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Eisenacher_Motorenwerk.svg/150px-Eisenacher_Motorenwerk.svg.png
145,147,afm,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,http://upload.wikimedia.org/wikipedia/commons/d/d0/Alex_von_Falkenhausen_Motorenbau_logo.png
146,148,frazer_nash,Frazer Nash,British,http://en.wikipedia.org/wiki/Frazer_Nash,
147,149,sherman,Sherman,American,http://en.wikipedia.org/wiki/Sherman_(constructor),
148,150,deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt,http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Indy500WinningCar19471948.JPG/220px-Indy500WinningCar19471948.JPG
149,151,era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles,
150,152,butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth,http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png
